Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,3.53E-08
12.6,5.51E-08
15.8,7.07E-08
20,7.72E-08
25.1,7.54E-08
31.6,6.98E-08
39.8,6.63E-08
50.1,6.21E-08
63.1,5.66E-08
79.4,5.26E-08
100,5.31E-08
125.9,4.85E-08
158.5,4.68E-08
199.5,4.17E-08
251.2,3.69E-08
316.2,3.25E-08
398.1,2.88E-08
501.2,2.44E-08
631,2.19E-08
794.3,1.94E-08
1000,1.67E-08
1258.9,1.47E-08
1584.9,1.26E-08
1995.3,1.15E-08
2511.9,9.94E-09
3162.3,8.62E-09
3981.1,7.90E-09
5011.9,7.28E-09
6309.6,7.14E-09
7943.3,7.49E-09
10000,6.77E-09
12589.3,6.31E-09
15848.9,6.24E-09
19952.6,6.17E-09
25118.9,6.34E-09
31622.8,5.90E-09
39810.7,5.99E-09
50118.7,6.19E-09
63095.7,5.73E-09
79432.8,5.23E-09
100000,5.25E-09
