Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.27E-08
12.6,1.41E-08
15.8,1.41E-08
20,1.41E-08
25.1,1.41E-08
31.6,1.41E-08
39.8,1.41E-08
50.1,1.41E-08
63.1,1.41E-08
79.4,1.41E-08
100,1.41E-08
125.9,1.41E-08
158.5,1.41E-08
199.5,1.41E-08
251.2,1.41E-08
316.2,1.41E-08
398.1,1.41E-08
501.2,1.40E-08
631,1.40E-08
794.3,1.38E-08
1000,1.35E-08
1258.9,1.31E-08
1584.9,1.16E-08
1995.3,9.36E-09
2511.9,7.77E-09
3162.3,6.58E-09
3981.1,6.26E-09
5011.9,5.61E-09
6309.6,5.53E-09
7943.3,5.45E-09
10000,5.32E-09
12589.3,5.64E-09
15848.9,5.76E-09
19952.6,5.63E-09
25118.9,5.69E-09
31622.8,5.57E-09
39810.7,5.72E-09
50118.7,5.43E-09
63095.7,5.27E-09
79432.8,5.47E-09
100000,5.61E-09
