Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.73E-06
12.6,3.27E-06
15.8,3.87E-06
20,4.03E-06
25.1,3.98E-06
31.6,3.73E-06
39.8,3.09E-06
50.1,2.18E-06
63.1,1.37E-06
79.4,7.98E-07
100,4.52E-07
125.9,2.46E-07
158.5,1.34E-07
199.5,7.19E-08
251.2,3.88E-08
316.2,2.26E-08
398.1,1.50E-08
501.2,1.11E-08
631,8.22E-09
794.3,7.10E-09
1000,6.19E-09
1258.9,6.54E-09
1584.9,6.26E-09
1995.3,5.91E-09
2511.9,5.80E-09
3162.3,5.47E-09
3981.1,5.38E-09
5011.9,5.91E-09
6309.6,5.75E-09
7943.3,5.66E-09
10000,5.54E-09
12589.3,5.68E-09
15848.9,5.73E-09
19952.6,5.98E-09
25118.9,6.17E-09
31622.8,5.91E-09
39810.7,5.45E-09
50118.7,5.84E-09
63095.7,5.63E-09
79432.8,5.45E-09
100000,5.68E-09
