Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,7.97E-06
12.6,1.50E-05
15.8,1.74E-05
20,1.72E-05
25.1,1.47E-05
31.6,1.08E-05
39.8,7.15E-06
50.1,4.41E-06
63.1,2.58E-06
79.4,1.45E-06
100,8.04E-07
125.9,4.35E-07
158.5,2.32E-07
199.5,1.21E-07
251.2,6.36E-08
316.2,3.46E-08
398.1,1.94E-08
501.2,1.20E-08
631,9.97E-09
794.3,7.92E-09
1000,7.08E-09
1258.9,6.15E-09
1584.9,5.87E-09
1995.3,6.15E-09
2511.9,5.68E-09
3162.3,5.12E-09
3981.1,4.66E-09
5011.9,5.49E-09
6309.6,5.03E-09
7943.3,5.40E-09
10000,4.66E-09
12589.3,5.12E-09
15848.9,5.59E-09
19952.6,5.03E-09
25118.9,5.40E-09
31622.8,4.66E-09
39810.7,4.66E-09
50118.7,4.66E-09
63095.7,4.66E-09
79432.8,4.66E-09
100000,4.66E-09
