Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,8.74E-07
12.6,1.67E-06
15.8,2.00E-06
20,2.12E-06
25.1,2.14E-06
31.6,2.12E-06
39.8,2.05E-06
50.1,1.90E-06
63.1,1.53E-06
79.4,1.04E-06
100,6.40E-07
125.9,3.67E-07
158.5,2.04E-07
199.5,1.09E-07
251.2,6.02E-08
316.2,3.45E-08
398.1,2.20E-08
501.2,1.48E-08
631,1.00E-08
794.3,7.87E-09
1000,6.69E-09
1258.9,6.86E-09
1584.9,6.75E-09
1995.3,6.26E-09
2511.9,6.12E-09
3162.3,5.41E-09
3981.1,4.92E-09
5011.9,4.89E-09
6309.6,5.30E-09
7943.3,5.18E-09
10000,5.25E-09
12589.3,5.36E-09
15848.9,5.82E-09
19952.6,6.08E-09
25118.9,5.82E-09
31622.8,5.70E-09
39810.7,5.45E-09
50118.7,5.67E-09
63095.7,5.82E-09
79432.8,6.17E-09
100000,5.82E-09
