Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.93E-08
12.6,3.45E-08
15.8,4.07E-08
20,4.31E-08
25.1,4.40E-08
31.6,4.44E-08
39.8,4.45E-08
50.1,4.46E-08
63.1,4.44E-08
79.4,4.42E-08
100,4.38E-08
125.9,4.29E-08
158.5,4.11E-08
199.5,3.74E-08
251.2,2.94E-08
316.2,2.02E-08
398.1,1.34E-08
501.2,9.63E-09
631,7.94E-09
794.3,6.73E-09
1000,6.52E-09
1258.9,5.98E-09
1584.9,5.84E-09
1995.3,6.04E-09
2511.9,6.03E-09
3162.3,6.14E-09
3981.1,5.56E-09
5011.9,6.08E-09
6309.6,5.81E-09
7943.3,6.31E-09
10000,5.62E-09
12589.3,5.71E-09
15848.9,5.67E-09
19952.6,5.47E-09
25118.9,5.80E-09
31622.8,5.78E-09
39810.7,5.70E-09
50118.7,6.13E-09
63095.7,5.73E-09
79432.8,5.90E-09
100000,5.77E-09
