Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.75E-06
12.6,3.31E-06
15.8,3.94E-06
20,4.14E-06
25.1,4.15E-06
31.6,4.03E-06
39.8,3.72E-06
50.1,2.98E-06
63.1,2.03E-06
79.4,1.24E-06
100,7.18E-07
125.9,4.02E-07
158.5,2.16E-07
199.5,1.17E-07
251.2,6.36E-08
316.2,3.46E-08
398.1,2.09E-08
501.2,1.43E-08
631,1.12E-08
794.3,9.24E-09
1000,6.98E-09
1258.9,6.01E-09
1584.9,6.89E-09
1995.3,6.05E-09
2511.9,6.22E-09
3162.3,5.87E-09
3981.1,5.73E-09
5011.9,5.29E-09
6309.6,5.49E-09
7943.3,5.12E-09
10000,5.29E-09
12589.3,5.31E-09
15848.9,5.33E-09
19952.6,5.26E-09
25118.9,5.68E-09
31622.8,5.87E-09
39810.7,5.89E-09
50118.7,5.56E-09
63095.7,5.26E-09
79432.8,5.33E-09
100000,5.87E-09
