Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,3.34E-06
12.6,6.44E-06
15.8,7.64E-06
20,7.94E-06
25.1,7.77E-06
31.6,7.14E-06
39.8,5.62E-06
50.1,3.81E-06
63.1,2.34E-06
79.4,1.36E-06
100,7.62E-07
125.9,4.13E-07
158.5,2.24E-07
199.5,1.20E-07
251.2,6.55E-08
316.2,3.45E-08
398.1,2.03E-08
501.2,1.28E-08
631,8.75E-09
794.3,7.68E-09
1000,7.03E-09
1258.9,5.96E-09
1584.9,5.73E-09
1995.3,5.87E-09
2511.9,6.38E-09
3162.3,5.63E-09
3981.1,5.54E-09
5011.9,5.36E-09
6309.6,5.31E-09
7943.3,5.49E-09
10000,5.17E-09
12589.3,5.26E-09
15848.9,5.22E-09
19952.6,5.03E-09
25118.9,5.12E-09
31622.8,4.80E-09
39810.7,4.28E-09
50118.7,5.08E-09
63095.7,5.26E-09
79432.8,5.63E-09
100000,5.59E-09
