Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,9.34E-08
12.6,1.71E-07
15.8,2.03E-07
20,2.15E-07
25.1,2.20E-07
31.6,2.21E-07
39.8,2.21E-07
50.1,2.20E-07
63.1,2.17E-07
79.4,2.12E-07
100,2.01E-07
125.9,1.75E-07
158.5,1.28E-07
199.5,8.16E-08
251.2,4.95E-08
316.2,3.06E-08
398.1,1.97E-08
501.2,1.33E-08
631,9.81E-09
794.3,8.63E-09
1000,7.85E-09
1258.9,6.96E-09
1584.9,6.01E-09
1995.3,6.09E-09
2511.9,5.94E-09
3162.3,5.66E-09
3981.1,5.83E-09
5011.9,5.67E-09
6309.6,5.24E-09
7943.3,5.57E-09
10000,6.13E-09
12589.3,6.22E-09
15848.9,6.16E-09
19952.6,5.62E-09
25118.9,5.92E-09
31622.8,5.84E-09
39810.7,6.43E-09
50118.7,6.08E-09
63095.7,5.79E-09
79432.8,5.73E-09
100000,6.32E-09
