Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.75E-08
12.6,2.33E-08
15.8,2.43E-08
20,2.44E-08
25.1,2.45E-08
31.6,2.45E-08
39.8,2.44E-08
50.1,2.44E-08
63.1,2.44E-08
79.4,2.44E-08
100,2.44E-08
125.9,2.44E-08
158.5,2.43E-08
199.5,2.43E-08
251.2,2.42E-08
316.2,2.38E-08
398.1,2.32E-08
501.2,2.19E-08
631,1.87E-08
794.3,1.33E-08
1000,9.05E-09
1258.9,7.19E-09
1584.9,5.96E-09
1995.3,5.98E-09
2511.9,6.18E-09
3162.3,5.70E-09
3981.1,6.19E-09
5011.9,5.94E-09
6309.6,6.32E-09
7943.3,6.04E-09
10000,5.69E-09
12589.3,5.56E-09
15848.9,5.52E-09
19952.6,6.23E-09
25118.9,5.43E-09
31622.8,5.50E-09
39810.7,5.81E-09
50118.7,5.75E-09
63095.7,6.08E-09
79432.8,5.85E-09
100000,5.95E-09
