Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,4.00E-06
12.6,4.36E-06
15.8,4.32E-06
20,4.25E-06
25.1,4.13E-06
31.6,3.89E-06
39.8,3.40E-06
50.1,2.19E-06
63.1,1.19E-06
79.4,6.19E-07
100,3.29E-07
125.9,1.93E-07
158.5,1.48E-07
199.5,1.29E-07
251.2,1.19E-07
316.2,1.24E-07
398.1,1.24E-07
501.2,1.18E-07
631,1.21E-07
794.3,1.21E-07
1000,1.21E-07
1258.9,1.17E-07
1584.9,1.11E-07
1995.3,1.01E-07
2511.9,9.56E-08
3162.3,9.13E-08
3981.1,8.42E-08
5011.9,7.22E-08
6309.6,5.81E-08
7943.3,4.78E-08
10000,4.10E-08
12589.3,3.38E-08
15848.9,2.76E-08
19952.6,2.32E-08
25118.9,2.01E-08
31622.8,1.75E-08
39810.7,1.40E-08
50118.7,1.17E-08
63095.7,1.06E-08
79432.8,1.04E-08
100000,1.19E-08
