Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,4.02E-06
12.6,4.36E-06
15.8,4.32E-06
20,4.25E-06
25.1,4.12E-06
31.6,3.88E-06
39.8,3.39E-06
50.1,2.18E-06
63.1,1.22E-06
79.4,6.29E-07
100,3.38E-07
125.9,2.07E-07
158.5,1.58E-07
199.5,1.50E-07
251.2,1.43E-07
316.2,1.49E-07
398.1,1.43E-07
501.2,1.47E-07
631,1.49E-07
794.3,1.38E-07
1000,1.37E-07
1258.9,1.38E-07
1584.9,1.23E-07
1995.3,1.17E-07
2511.9,1.02E-07
3162.3,8.96E-08
3981.1,7.85E-08
5011.9,6.53E-08
6309.6,5.42E-08
7943.3,5.09E-08
10000,4.34E-08
12589.3,3.09E-08
15848.9,2.52E-08
19952.6,2.08E-08
25118.9,1.78E-08
31622.8,1.64E-08
39810.7,1.30E-08
50118.7,1.22E-08
63095.7,9.84E-09
79432.8,1.06E-08
100000,1.24E-08
